wpid,wpdobstr,wpdob
1046517,"May 14, 1953",1953-05-14
18006515,"January 1, 1950",1950-01-01
18006902,"November 1, 1936",1936-11-01
18014651,"November 23, 1951",1951-11-23
18014714,"June 30, 1956",1956-06-30
18015000,"August 25, 1947",1947-08-25
18015034,"November 5, 1945",1945-11-05
18015039,"May 15, 1951",1951-05-15
18015085,"August 15, 1953",1953-08-15
19160532,"September 13, 1951",1951-09-13
2577098,"January 15, 1951",1951-01-15
393779,"August 5, 1952",1952-08-05
42663777,"January 2, 1962",1962-01-02
42858283,"October 1, 1965",1965-10-01
43583538,"January 27, 1951",1951-01-27
43583579,"October 8, 1959",1959-10-08
49851353,"May 3, 1954",1954-05-03
53531406,"August 17, 1949",1949-08-17
58160643,"July 16, 1960",1960-07-16
58171499,"May 15, 1980",1980-05-15
58273477,"April 13, 1949",1949-04-13
58467209,"March 20, 1953",1953-03-20
59272330,"October 30, 1955",1955-10-30
70514693,"January 2, 1979",1979-01-02
71981040,"January 7, 1979",1979-01-07
876507,"November 15, 1935",1935-11-15
