wanted,position,positionid,from,start,end
Q379197,Member of the National Assembly,Q21295974,Q8053618,2018-09-05,
Q1385794,Minister in Charge of the Office of the Council of Ministers,Q114418549,Q28969538,2017-03-16,
Q23771428,Minister of Posts and Telecommunications,Q114417384,Q7833112,2016-04-05,2020-03-30
Q6001780,"Minister of Land Management, Urban Planning and Construction",Q114417297,Q22099925,2016-04-05,
Q16191229,Minister of Industry and Handicrafts,Q114417393,Q5069253,2013-09-24,2020-03-30
Q5070358,"Minister of Agriculture, Forestry and Fisheries",Q114418480,Q7878253,2013-09-24,2016-04-05
Q6001836,"Minister of Education, Youth and Sport",Q114417374,Q16864093,2013-09-24,
Q6895205,Minister of Environment,Q114417375,Q56223136,2013-09-24,
Q4949211,Minister of Defence,Q113501557,Q4922569,2006-06-27,
Q1539074,Minister of Women's Affairs,Q114417498,Q28412157,2004-07-16,
